id_detalle,id_pedido,id_producto,cantidad,precio_unitario_venta
1,1,51,3,10500.0
2,1,60,3,69300.0
3,1,27,1,25000.0
4,2,56,1,14800.0
5,2,3,1,60400.0
6,2,55,2,53500.0
7,2,31,2,23700.0
8,3,26,2,37200.0
9,3,22,1,42500.0
10,4,44,1,27600.0
11,4,54,1,35700.0
12,4,35,2,2800.0
13,4,22,1,42500.0
14,5,23,2,77100.0
15,5,47,3,73400.0
16,5,51,3,10500.0
17,5,21,1,23900.0
18,6,46,2,68100.0
19,7,24,1,72200.0
20,7,28,3,2300.0
21,8,33,2,47800.0
22,8,20,2,54600.0
23,8,43,2,12600.0
24,9,43,1,12600.0
25,9,25,3,9700.0
26,9,44,3,27600.0
27,9,48,2,76600.0
28,10,14,3,10900.0
29,10,28,3,2300.0
30,10,51,3,10500.0
31,11,33,3,47800.0
32,11,31,1,23700.0
33,12,6,1,56300.0
34,12,53,3,75400.0
35,12,49,2,19400.0
36,13,16,2,24600.0
37,14,46,2,68100.0
38,14,45,2,76600.0
39,15,58,1,73800.0
40,16,4,1,52800.0
41,16,36,2,8200.0
42,16,16,1,24600.0
43,16,59,2,83000.0
44,17,49,3,19400.0
45,17,58,3,73800.0
46,17,29,3,66000.0
47,18,29,3,66000.0
48,18,17,2,52200.0
49,18,49,3,19400.0
50,18,16,2,24600.0
51,19,46,2,68100.0
52,20,9,1,26800.0
53,21,5,2,83900.0
54,21,27,2,25000.0
55,22,54,2,35700.0
56,22,27,3,25000.0
57,23,23,2,77100.0
58,24,32,2,63500.0
59,24,15,2,47900.0
60,25,47,1,73400.0
61,25,11,3,79900.0
62,25,54,3,35700.0
63,25,30,1,54900.0
64,26,6,3,56300.0
65,27,17,2,52200.0
66,28,49,2,19400.0
67,28,57,2,79200.0
68,28,25,2,9700.0
69,29,23,1,77100.0
70,30,16,1,24600.0
71,31,43,2,12600.0
72,31,8,3,69800.0
73,31,37,2,75300.0
74,31,14,2,10900.0
75,32,38,1,77000.0
76,33,46,3,68100.0
77,33,13,3,11600.0
78,33,5,1,83900.0
79,33,38,1,77000.0
80,34,35,2,2800.0
81,34,28,1,2300.0
82,34,43,3,12600.0
83,35,7,2,2600.0
84,35,28,3,2300.0
85,35,24,1,72200.0
86,35,41,2,50300.0
87,36,30,3,54900.0
88,36,28,2,2300.0
89,36,53,2,75400.0
90,36,47,1,73400.0
91,37,37,2,75300.0
92,37,40,1,71300.0
93,37,43,2,12600.0
94,37,25,2,9700.0
95,38,22,3,42500.0
96,38,18,3,61600.0
97,38,57,2,79200.0
98,39,16,3,24600.0
99,40,42,1,14300.0
100,40,46,1,68100.0
101,40,32,2,63500.0
102,40,29,1,66000.0
103,41,31,2,23700.0
104,41,36,2,8200.0
105,41,34,3,37500.0
106,42,18,1,61600.0
107,42,20,3,54600.0
108,42,17,1,52200.0
109,42,15,2,47900.0
110,43,14,2,10900.0
111,43,48,2,76600.0
112,44,54,1,35700.0
113,45,1,1,15100.0
114,45,46,2,68100.0
115,45,35,1,2800.0
116,46,41,2,50300.0
117,46,56,1,14800.0
118,47,29,2,66000.0
119,47,22,2,42500.0
120,47,12,1,13100.0
121,47,4,1,52800.0
122,48,10,1,57100.0
123,49,36,2,8200.0
124,50,59,3,83000.0
125,50,29,2,66000.0
126,50,20,2,54600.0
127,50,56,3,14800.0
128,51,49,1,19400.0
129,52,11,1,79900.0
130,53,27,2,25000.0
131,54,19,2,18900.0
132,54,46,3,68100.0
133,55,51,3,10500.0
134,55,41,1,50300.0
135,55,38,2,77000.0
136,56,59,1,83000.0
137,56,18,1,61600.0
138,57,29,3,66000.0
139,57,8,2,69800.0
140,57,30,3,54900.0
141,58,29,2,66000.0
142,58,6,3,56300.0
143,58,39,2,47300.0
144,58,3,3,60400.0
145,59,49,3,19400.0
146,60,34,2,37500.0
147,60,42,1,14300.0
148,60,29,3,66000.0
149,60,59,2,83000.0
150,61,27,3,25000.0
151,61,22,1,42500.0
152,61,21,1,23900.0
153,62,43,3,12600.0
154,62,26,1,37200.0
155,62,53,2,75400.0
156,63,50,2,22700.0
157,64,27,2,25000.0
158,64,4,3,52800.0
159,64,13,2,11600.0
160,64,34,3,37500.0
161,65,60,2,69300.0
162,65,19,3,18900.0
163,66,46,2,68100.0
164,66,11,3,79900.0
165,67,54,1,35700.0
166,67,59,2,83000.0
167,68,33,2,47800.0
168,68,46,2,68100.0
169,68,18,2,61600.0
170,69,13,3,11600.0
171,69,59,1,83000.0
172,69,39,1,47300.0
173,69,33,2,47800.0
174,70,19,3,18900.0
175,71,56,2,14800.0
176,71,10,2,57100.0
177,71,29,2,66000.0
178,71,35,3,2800.0
179,72,45,3,76600.0
180,72,16,2,24600.0
181,73,46,2,68100.0
182,73,59,3,83000.0
183,73,52,3,66700.0
184,73,25,1,9700.0
185,74,56,2,14800.0
186,74,7,1,2600.0
187,74,55,3,53500.0
188,75,56,2,14800.0
189,75,42,2,14300.0
190,75,10,2,57100.0
191,75,5,3,83900.0
192,76,21,2,23900.0
193,76,41,3,50300.0
194,76,46,1,68100.0
195,76,57,3,79200.0
196,77,15,2,47900.0
197,77,48,1,76600.0
198,77,6,3,56300.0
199,78,58,2,73800.0
200,78,2,1,71200.0
201,78,3,2,60400.0
202,79,34,3,37500.0
203,79,27,3,25000.0
204,80,40,3,71300.0
205,80,44,1,27600.0
206,80,16,1,24600.0
207,80,32,2,63500.0
208,81,58,2,73800.0
209,82,23,2,77100.0
210,82,38,3,77000.0
211,82,20,2,54600.0
212,82,41,2,50300.0
213,83,16,2,24600.0
214,84,2,2,71200.0
215,84,54,2,35700.0
216,84,43,1,12600.0
217,85,54,1,35700.0
218,85,58,3,73800.0
219,85,19,2,18900.0
220,85,50,1,22700.0
221,86,41,3,50300.0
222,86,7,3,2600.0
223,87,47,2,73400.0
224,87,9,2,26800.0
225,87,6,3,56300.0
226,88,34,2,37500.0
227,88,33,1,47800.0
228,88,59,2,83000.0
229,89,30,1,54900.0
230,90,55,1,53500.0
231,90,52,2,66700.0
232,90,36,1,8200.0
233,90,24,2,72200.0
234,91,38,3,77000.0
235,91,25,2,9700.0
236,91,53,1,75400.0
237,92,59,3,83000.0
238,92,40,1,71300.0
239,92,15,3,47900.0
240,93,9,1,26800.0
241,94,16,3,24600.0
242,95,38,2,77000.0
243,95,48,3,76600.0
244,95,47,1,73400.0
245,95,10,2,57100.0
246,96,14,2,10900.0
247,96,29,1,66000.0
248,96,16,3,24600.0
249,97,26,2,37200.0
250,98,42,3,14300.0
251,98,41,1,50300.0
252,99,5,3,83900.0
253,99,54,1,35700.0
254,100,51,3,10500.0
255,100,58,1,73800.0
256,101,52,3,66700.0
257,101,12,1,13100.0
258,101,8,1,69800.0
259,102,2,1,71200.0
260,102,12,1,13100.0
