id_pedido,id_cliente,fecha_pedido,canal,estado
1,53,2025-01-26,Marketplace,Completado
2,35,2025-06-13,Sitio web,Pendiente
3,40,2025-08-22,Sitio web,Completado
4,36,2025-12-26,Marketplace,Pendiente
5,75,2025-09-29,Sitio web,Completado
6,50,2026-08-14,App móvil,Completado
7,1,2026-06-17,Marketplace,Cancelado
8,43,2025-11-18,Sitio web,Pendiente
9,38,2026-07-22,Sitio web,Completado
10,52,2026-07-16,App móvil,Completado
11,42,2026-04-22,App móvil,Completado
12,85,2025-03-28,Marketplace,Completado
13,29,2025-07-23,Sitio web,Completado
14,79,2025-03-16,App móvil,Completado
15,52,2025-09-07,Marketplace,Completado
16,55,2025-08-13,Marketplace,Completado
17,86,2026-06-28,Marketplace,Cancelado
18,55,2026-07-16,Sitio web,Completado
19,81,2025-09-02,App móvil,Completado
20,31,2025-10-06,App móvil,Completado
21,30,2026-01-28,Sitio web,Pendiente
22,70,2026-04-23,Sitio web,Completado
23,3,2026-08-13,App móvil,Completado
24,50,2026-03-06,Marketplace,Cancelado
25,63,2025-01-30,App móvil,Completado
26,51,2026-08-30,Marketplace,Cancelado
27,55,2025-05-19,Sitio web,Completado
28,42,2025-08-05,App móvil,Completado
29,11,2026-04-27,Marketplace,Completado
30,84,2025-03-12,Sitio web,Pendiente
31,3,2025-06-06,Sitio web,Completado
32,22,2025-04-28,App móvil,Completado
33,40,2026-08-13,App móvil,Pendiente
34,39,2025-05-04,Sitio web,Cancelado
35,83,2025-12-16,App móvil,Completado
36,23,2026-06-19,App móvil,Pendiente
37,12,2025-10-13,Sitio web,Completado
38,24,2026-05-15,App móvil,Completado
39,72,2025-01-11,Sitio web,Cancelado
40,53,2026-05-16,Sitio web,Cancelado
41,52,2025-09-07,Marketplace,Completado
42,71,2025-12-05,Marketplace,Completado
43,16,2026-07-03,Sitio web,Pendiente
44,76,2026-06-22,App móvil,Cancelado
45,38,2025-08-21,Sitio web,Completado
46,7,2026-07-21,Marketplace,Completado
47,2,2026-08-11,App móvil,Completado
48,52,2026-05-19,Marketplace,Completado
49,73,2025-11-08,Sitio web,Completado
50,78,2025-08-20,App móvil,Cancelado
51,80,2025-03-03,Marketplace,Cancelado
52,81,2025-08-05,Marketplace,Completado
53,23,2026-07-20,Sitio web,Completado
54,77,2026-04-27,Sitio web,Completado
55,59,2025-03-14,Sitio web,Pendiente
56,15,2026-07-12,Marketplace,Completado
57,8,2025-06-19,Marketplace,Completado
58,52,2025-10-06,Marketplace,Cancelado
59,33,2025-01-27,Sitio web,Completado
60,35,2026-08-14,Sitio web,Completado
61,82,2026-05-19,App móvil,Completado
62,43,2026-02-26,App móvil,Pendiente
63,12,2025-11-19,App móvil,Completado
64,66,2025-01-02,Marketplace,Pendiente
65,57,2025-02-22,App móvil,Completado
66,63,2025-05-05,Marketplace,Completado
67,2,2026-07-20,Sitio web,Completado
68,16,2025-06-07,Marketplace,Completado
69,32,2026-04-13,Sitio web,Cancelado
70,54,2025-12-15,App móvil,Cancelado
71,39,2026-08-25,Marketplace,Cancelado
72,70,2026-01-22,App móvil,Completado
73,30,2026-02-25,App móvil,Completado
74,64,2025-02-07,Marketplace,Completado
75,59,2025-01-16,Sitio web,Pendiente
76,51,2025-03-24,Marketplace,Completado
77,9,2025-08-29,Marketplace,Pendiente
78,13,2026-03-31,Marketplace,Completado
79,46,2026-01-19,Sitio web,Completado
80,24,2025-06-24,Sitio web,Completado
81,82,2025-09-18,App móvil,Completado
82,37,2026-07-14,Sitio web,Completado
83,39,2025-07-23,App móvil,Completado
84,74,2026-01-03,App móvil,Cancelado
85,73,2025-02-20,Marketplace,Cancelado
86,82,2025-07-14,App móvil,Cancelado
87,6,2025-11-13,Sitio web,Completado
88,54,2025-06-29,Sitio web,Completado
89,62,2025-10-30,App móvil,Pendiente
90,19,2025-08-20,Marketplace,Pendiente
91,69,2025-05-07,App móvil,Completado
92,87,2025-08-28,Sitio web,Completado
93,60,2025-11-06,App móvil,Pendiente
94,5,2025-11-08,Sitio web,Completado
95,18,2026-02-02,App móvil,Completado
96,79,2026-02-22,Sitio web,Completado
97,48,2026-07-12,App móvil,Pendiente
98,25,2025-05-06,Sitio web,Completado
99,7,2025-12-08,Sitio web,Completado
100,76,2025-08-10,App móvil,Completado
101,36,2025-05-29,Marketplace,Completado
102,2,2026-01-02,Marketplace,Completado
103,54,2026-06-23,Marketplace,Completado
104,47,2026-06-10,Sitio web,Cancelado
105,59,2025-02-01,App móvil,Completado
106,42,2025-06-01,Sitio web,Completado
107,49,2026-06-28,App móvil,Completado
108,28,2026-03-17,Sitio web,Completado
109,55,2025-11-17,App móvil,Pendiente
110,11,2025-04-06,Sitio web,Completado
111,72,2025-12-04,Sitio web,Pendiente
112,77,2025-11-16,Sitio web,Completado
113,14,2025-12-25,App móvil,Cancelado
114,74,2025-08-20,Marketplace,Completado
115,35,2025-01-30,App móvil,Completado
116,73,2026-02-15,Sitio web,Completado
117,68,2025-08-09,App móvil,Completado
118,11,2025-02-23,Sitio web,Completado
119,35,2026-03-30,App móvil,Pendiente
120,56,2025-04-24,Marketplace,Completado
121,1,2025-07-29,Sitio web,Completado
122,16,2025-01-08,Marketplace,Completado
123,86,2025-12-29,App móvil,Completado
124,59,2025-03-21,Marketplace,Completado
125,3,2025-11-29,Marketplace,Completado
126,56,2026-08-27,Marketplace,Completado
127,44,2025-08-15,Sitio web,Completado
128,15,2026-06-28,Sitio web,Cancelado
129,14,2025-05-30,Sitio web,Completado
130,23,2026-05-21,Marketplace,Completado
131,81,2025-11-20,App móvil,Completado
132,81,2025-11-07,Marketplace,Completado
133,10,2025-11-14,App móvil,Completado
134,37,2025-03-20,Sitio web,Pendiente
135,84,2025-07-12,Marketplace,Completado
136,65,2025-06-26,Sitio web,Completado
137,53,2025-12-13,Marketplace,Pendiente
138,83,2025-12-09,App móvil,Completado
139,50,2025-10-18,Marketplace,Completado
140,19,2025-12-25,Marketplace,Completado
141,43,2025-05-11,Marketplace,Pendiente
142,55,2026-06-05,Sitio web,Completado
143,29,2025-05-21,Sitio web,Completado
144,68,2025-02-08,App móvil,Pendiente
145,24,2025-06-19,App móvil,Pendiente
146,87,2025-09-01,Marketplace,Completado
147,31,2025-11-13,Sitio web,Completado
148,65,2026-06-25,Sitio web,Completado
149,7,2026-05-08,Marketplace,Completado
150,16,2025-10-19,Sitio web,Completado
151,29,2026-04-07,Sitio web,Completado
152,29,2025-01-29,Sitio web,Completado
153,18,2026-04-26,Marketplace,Completado
154,3,2025-09-20,Sitio web,Completado
155,54,2026-04-14,Sitio web,Completado
156,19,2025-10-26,Sitio web,Completado
157,11,2026-06-21,Sitio web,Completado
158,6,2026-02-01,App móvil,Completado
159,45,2025-09-04,Marketplace,Pendiente
160,43,2025-05-17,App móvil,Completado
161,62,2025-07-06,Sitio web,Completado
162,66,2026-02-12,App móvil,Cancelado
163,7,2025-12-06,Sitio web,Completado
164,44,2025-07-11,Marketplace,Completado
165,11,2026-03-17,Sitio web,Cancelado
166,40,2026-04-02,Marketplace,Cancelado
167,79,2026-03-22,Marketplace,Completado
168,82,2026-02-20,Marketplace,Completado
169,57,2025-02-05,Sitio web,Completado
170,50,2026-08-04,Marketplace,Completado
171,57,2025-03-20,Sitio web,Cancelado
172,4,2025-07-10,Marketplace,Completado
173,79,2025-10-20,App móvil,Pendiente
174,23,2026-04-01,Marketplace,Completado
175,38,2025-11-04,Marketplace,Completado
176,16,2025-07-25,Sitio web,Completado
177,79,2025-03-30,App móvil,Completado
178,17,2025-11-21,Sitio web,Pendiente
179,24,2025-05-13,Marketplace,Completado
180,67,2025-06-06,Sitio web,Completado
181,45,2026-06-16,Sitio web,Completado
182,39,2026-07-01,Marketplace,Completado
183,80,2025-12-12,Sitio web,Cancelado
184,83,2026-08-14,Marketplace,Completado
185,82,2025-02-01,Marketplace,Completado
186,39,2026-04-10,Marketplace,Completado
187,54,2026-05-11,Sitio web,Completado
188,45,2026-02-13,App móvil,Completado
189,60,2025-05-06,App móvil,Completado
190,50,2026-03-05,Sitio web,Completado
191,64,2026-06-12,App móvil,Completado
192,31,2025-08-09,App móvil,Cancelado
193,64,2026-04-27,Marketplace,Completado
194,56,2025-05-18,Marketplace,Completado
195,73,2026-07-30,App móvil,Completado
196,80,2025-05-02,Sitio web,Completado
197,66,2026-02-16,Sitio web,Cancelado
198,43,2026-05-01,App móvil,Cancelado
199,42,2025-11-23,App móvil,Completado
200,73,2025-11-03,Sitio web,Completado
201,81,2025-01-28,App móvil,Cancelado
202,7,2026-08-21,Sitio web,Completado
203,25,2025-01-20,App móvil,Completado
204,8,2025-05-22,Sitio web,Cancelado
205,59,2026-06-30,Marketplace,Completado
206,34,2026-05-11,Sitio web,Completado
207,27,2026-05-16,App móvil,Completado
208,16,2026-08-11,Marketplace,Pendiente
209,11,2025-12-21,Marketplace,Completado
210,72,2025-10-06,Sitio web,Completado
